DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
01/20/2020 12:00:00 AM,400,1,Central,121,"RAPE, FORCIBLE",19,F,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,121.0,300 S  FIGUEROA                     ST,,34.0542,-118.2566
01/23/2020 12:00:00 AM,600,1,Central,310,BURGLARY,51,M,HOTEL,,Adult Other,310.0,700 N  MAIN                         ST,,34.0583,-118.2378
04/28/2020 12:00:00 AM,100,8,West LA,354,THEFT OF IDENTITY,27,M,SINGLE FAMILY DWELLING,,Invest Cont,354.0,8500    CASHIO                       ST,,34.0507,-118.3762
07/29/2020 12:00:00 AM,2020,11,Northeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,626.0,3200 W  AVENUE 32,,34.1186,-118.245
01/27/2020 12:00:00 AM,1500,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,MTA BUS,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,930.0,6TH,SAN JULIAN,34.0428,-118.2461
11/01/2020 12:00:00 AM,1200,10,West Valley,354,THEFT OF IDENTITY,39,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,354.0,18600    COLLINS                      ST,,34.1745,-118.5383
12/03/2020 12:00:00 AM,811,7,Wilshire,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,OTHER BUSINESS,,Invest Cont,442.0,8400    BEVERLY                      BL,,34.0761,-118.3737
08/27/2020 12:00:00 AM,1255,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,57,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,14100    SYLVAN                       ST,,34.1847,-118.44
06/20/2020 12:00:00 AM,1000,8,West LA,624,BATTERY - SIMPLE ASSAULT,78,F,NURSING/CONVALESCENT/RETIREMENT HOME,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,624.0,12100    SANTA MONICA                 BL,,34.0423,-118.4656
01/30/2020 12:00:00 AM,55,1,Central,330,BURGLARY FROM VEHICLE,24,M,STREET,,Adult Arrest,330.0,18TH                         ST,LOS ANGELES                  ST,34.0317,-118.2626
01/30/2020 12:00:00 AM,2040,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,MINI-MART,BLUNT INSTRUMENT,Adult Arrest,230.0,7TH                          ST,BROADWAY,34.0456,-118.254
02/04/2020 12:00:00 AM,920,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,OTHER BUSINESS,BOTTLE,Adult Arrest,230.0,200    WINSTON                      ST,,34.0467,-118.247
02/04/2020 12:00:00 AM,1645,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,DEPARTMENT STORE,,Invest Cont,442.0,700 S  FLOWER                       ST,,34.0487,-118.2588
02/06/2020 12:00:00 AM,1135,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,740.0,8TH,SPRING,34.0431,-118.2536
12/11/2020 12:00:00 AM,420,2,Rampart,761,BRANDISH WEAPON,34,M,PARKING LOT,SEMI-AUTOMATIC PISTOL,Adult Other,761.0,2500    BEVERLY                      BL,,34.0708,-118.2798
11/26/2020 12:00:00 AM,115,12,77th Street,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,50,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CLUB/BAT,Adult Arrest,236.0,500 W  77TH                         ST,,33.9698,-118.2833
02/08/2020 12:00:00 AM,1600,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,,Invest Cont,442.0,700 W  7TH                          ST,,34.048,-118.2577
03/27/2020 12:00:00 AM,315,4,Hollenbeck,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,M,OTHER BUSINESS,,Invest Cont,740.0,2600 N  BROADWAY,,34.0736,-118.2156
03/22/2020 12:00:00 AM,430,4,Hollenbeck,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,626.0,300 N  EVERGREEN                    AV,,34.0436,-118.2051
07/16/2020 12:00:00 AM,1900,11,Northeast,662,"BUNCO, GRAND THEFT",51,F,SINGLE FAMILY DWELLING,,Invest Cont,662.0,2100    HYPERION                     AV,,34.099,-118.2738
01/01/2020 12:00:00 AM,245,1,Central,350,"THEFT, PERSON",44,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,350.0,6TH                          ST,SPRING                       ST,34.0463,-118.2515
01/01/2020 12:00:00 AM,325,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,M,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,740.0,4TH                          ST,HILL                         ST,34.0503,-118.2504
01/01/2020 12:00:00 AM,30,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,M,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,930.0,700 W  9TH                          ST,,34.0458,-118.2614
01/01/2020 12:00:00 AM,230,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,626.0,400 S  HILL                         ST,,34.0503,-118.2504
06/23/2020 12:00:00 AM,2200,8,West LA,624,BATTERY - SIMPLE ASSAULT,24,M,GROUP HOME,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,624.0,8900    HARGIS                       ST,,34.0352,-118.387
01/01/2020 12:00:00 AM,230,1,Central,310,BURGLARY,34,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,310.0,700    YALE                         ST,,34.0612,-118.2417
01/01/2020 12:00:00 AM,500,1,Central,860,BATTERY WITH SEXUAL CONTACT,18,F,MTA - RED LINE - UNION STATION,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,860.0,800 N  ALAMEDA                      ST,,34.0563,-118.2374
01/01/2020 12:00:00 AM,1200,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,230.0,7TH,SAN PEDRO,34.0401,-118.2459
01/01/2020 12:00:00 AM,344,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,OTHER BUSINESS,,Invest Cont,745.0,800 W  7TH                          ST,,34.0487,-118.2588
01/01/2020 12:00:00 AM,1030,1,Central,480,BIKE - STOLEN,23,M,RESTAURANT/FAST FOOD,,Invest Cont,480.0,HILL,WASHINGTON,34.032,-118.2657
01/01/2020 12:00:00 AM,1200,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,745.0,ALISO,SPRING,34.0561,-118.2415
12/09/2020 12:00:00 AM,300,3,Southwest,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,54,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,236.0,3000    WELLINGTON                   RD,,34.0261,-118.3384
01/01/2020 12:00:00 AM,200,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,NIGHT CLUB (OPEN EVENINGS ONLY),,Invest Cont,440.0,800    FRANCISCO                    ST,,34.0487,-118.2627
01/01/2020 12:00:00 AM,2330,1,Central,624,BATTERY - SIMPLE ASSAULT,28,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,624.0,WALL,5TH                          ST,34.0495,-118.2458
06/22/2020 12:00:00 AM,2005,8,West LA,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",42,F,SINGLE FAMILY DWELLING,,Adult Other,956.0,2800 S  BEDFORD                      ST,,34.0346,-118.3857
01/01/2020 12:00:00 AM,2045,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,STREET,OTHER CUTTING INSTRUMENT,Invest Cont,230.0,7TH,LOS ANGELES,34.0424,-118.2493
